Transect,Point,92P1,92P2,92P3,92P4,92P5,92P6,92P7,92P8,92P9,92P10,92P11,92P12,92P13,92P14,92P15,92P16,92P17,92P18,92P19,92P20,92P21,92P22,92P23,92P24
A,11 ,3 ,2 ,0 ,3 ,1 ,3 ,0 ,4 ,3 ,9 ,0 ,3 ,0 ,0 ,3 ,3 ,14 ,0 ,2 ,0 ,2 ,5 ,2 ,9 
A,12 ,3 ,2 ,0 ,3 ,1 ,2 ,3 ,4 ,3 ,9 ,0 ,0 ,2 ,0 ,3 ,3 ,14 ,0 ,2 ,0 ,2 ,5 ,8 ,41 
A,13 ,11 ,0 ,0 ,3 ,1 ,1 ,3 ,3 ,3 ,0 ,1 ,0 ,2 ,0 ,0 ,3 ,14 ,1 ,0 ,3 ,0 ,5 ,8 ,41 
A,14 ,0 ,0 ,0 ,3 ,1 ,1 ,3 ,4 ,3 ,0 ,1 ,2 ,2 ,0 ,3 ,3 ,1 ,0 ,10 ,24 ,2 ,1 ,8 ,41 
A,15 ,0 ,2 ,0 ,3 ,1 ,1 ,2 ,4 ,3 ,0 ,1 ,2 ,2 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,46 ,18 
A,16 ,2 ,0 ,0 ,3 ,1 ,1 ,0 ,4 ,0 ,2 ,0 ,2 ,2 ,2 ,3 ,3 ,0 ,0 ,1 ,0 ,0 ,2 ,46 ,18 
A,17 ,2 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,7 ,0 ,2 ,2 ,0 ,3 ,0 ,0 ,10 ,0 ,0 ,2 ,46 ,18 
A,18 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,3 ,2 ,0 ,0 ,21 ,0 ,21 ,0 ,18 ,0 ,2 ,46 ,3 
A,19 ,0 ,0 ,0 ,0 ,1 ,2 ,0 ,3 ,0 ,0 ,1 ,3 ,2 ,0 ,0 ,21 ,0 ,21 ,0 ,3 ,0 ,8 ,46 ,3 
A,20 ,0 ,0 ,0 ,3 ,1 ,2 ,0 ,3 ,0 ,0 ,0 ,35 ,2 ,0 ,0 ,21 ,3 ,21 ,0 ,3 ,1 ,8 ,46 ,3 
A,21 ,15 ,2 ,0 ,3 ,0 ,2 ,0 ,17 ,2 ,1 ,18 ,3 ,2 ,2 ,0 ,21 ,3 ,21 ,2 ,3 ,2 ,8 ,46 ,0 
A,22 ,13 ,2 ,0 ,0 ,1 ,2 ,0 ,0 ,2 ,0 ,18 ,3 ,2 ,0 ,0 ,21 ,3 ,21 ,2 ,3 ,2 ,8 ,2 ,2 
A,23 ,13 ,0 ,3 ,0 ,0 ,2 ,2 ,0 ,2 ,1 ,18 ,3 ,3 ,2 ,3 ,21 ,3 ,21 ,0 ,0 ,2 ,8 ,2 ,2 
A,24 ,0 ,2 ,0 ,3 ,1 ,2 ,0 ,7 ,2 ,1 ,18 ,3 ,3 ,2 ,0 ,21 ,24 ,21 ,0 ,0 ,2 ,8 ,46 ,1 
A,25 ,0 ,3 ,0 ,3 ,21 ,0 ,0 ,4 ,2 ,0 ,1 ,3 ,3 ,3 ,2 ,0 ,24 ,3 ,0 ,0 ,2 ,8 ,46 ,1 
A,26 ,0 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,2 ,3 ,2 ,0 ,0 ,3 ,0 ,2 ,2 ,8 ,46 ,18 
A,27 ,2 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,2 ,28 ,3 ,2 ,3 ,8 ,0 ,0 ,3 ,0 ,2 ,0 ,8 ,46 ,18 
A,28 ,0 ,0 ,0 ,3 ,0 ,2 ,0 ,0 ,3 ,0 ,28 ,3 ,0 ,3 ,8 ,2 ,0 ,3 ,0 ,0 ,0 ,8 ,46 ,0 
A,29 ,21 ,0 ,0 ,3 ,1 ,0 ,0 ,3 ,3 ,0 ,28 ,2 ,0 ,2 ,8 ,2 ,0 ,0 ,1 ,0 ,2 ,5 ,46 ,0 
A,30 ,21 ,0 ,3 ,3 ,0 ,0 ,2 ,3 ,3 ,0 ,28 ,2 ,0 ,46 ,0 ,0 ,0 ,0 ,2 ,9 ,0 ,5 ,46 ,0 
A,31 ,21 ,2 ,5 ,3 ,1 ,0 ,2 ,3 ,3 ,1 ,28 ,2 ,3 ,46 ,0 ,2 ,1 ,1 ,14 ,9 ,2 ,4 ,46 ,0 
A,32 ,21 ,0 ,3 ,3 ,3 ,2 ,0 ,3 ,3 ,1 ,28 ,2 ,3 ,46 ,0 ,3 ,24 ,1 ,1 ,9 ,2 ,5 ,46 ,0 
A,33 ,21 ,2 ,21 ,3 ,1 ,2 ,0 ,3 ,3 ,1 ,28 ,0 ,3 ,46 ,0 ,3 ,24 ,0 ,1 ,9 ,2 ,4 ,2 ,0 
A,34 ,2 ,0 ,21 ,3 ,1 ,2 ,0 ,3 ,2 ,0 ,28 ,0 ,3 ,46 ,0 ,21 ,24 ,1 ,2 ,9 ,0 ,5 ,0 ,0 
A,35 ,6 ,0 ,21 ,3 ,1 ,2 ,3 ,3 ,2 ,0 ,1 ,0 ,3 ,46 ,0 ,21 ,8 ,1 ,3 ,9 ,0 ,5 ,14 ,0 
A,36 ,6 ,0 ,21 ,3 ,0 ,0 ,3 ,3 ,2 ,0 ,1 ,0 ,3 ,46 ,0 ,14 ,8 ,19 ,2 ,9 ,2 ,5 ,0 ,0 
A,37 ,2 ,2 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,46 ,0 ,0 ,8 ,1 ,2 ,9 ,0 ,5 ,0 ,0 
A,38 ,26 ,2 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,46 ,0 ,0 ,1 ,0 ,0 ,9 ,0 ,5 ,14 ,5 
A,39 ,26 ,0 ,0 ,0 ,1 ,2 ,0 ,15 ,3 ,0 ,1 ,0 ,2 ,3 ,0 ,0 ,1 ,2 ,0 ,9 ,0 ,24 ,0 ,5 
A,40 ,2 ,3 ,3 ,0 ,0 ,1 ,0 ,0 ,3 ,1 ,1 ,32 ,0 ,7 ,3 ,0 ,1 ,2 ,0 ,9 ,0 ,24 ,0 ,5 
A,41 ,26 ,3 ,3 ,0 ,1 ,11 ,3 ,0 ,3 ,0 ,1 ,0 ,5 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,5 
A,42 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,3 ,0 ,1 ,2 ,5 ,3 ,3 ,14 ,24 ,2 ,0 ,0 ,0 ,2 ,0 ,5 
A,43 ,0 ,0 ,0 ,0 ,1 ,2 ,3 ,0 ,3 ,0 ,1 ,2 ,2 ,3 ,3 ,14 ,1 ,2 ,1 ,1 ,0 ,2 ,2 ,14 
A,44 ,0 ,0 ,0 ,3 ,1 ,1 ,0 ,2 ,2 ,5 ,0 ,3 ,2 ,3 ,0 ,0 ,1 ,0 ,1 ,1 ,18 ,2 ,52 ,0 
A,45 ,2 ,0 ,0 ,3 ,1 ,1 ,7 ,0 ,2 ,0 ,1 ,3 ,0 ,3 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,52 ,5 
A,46 ,0 ,0 ,27 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,3 ,0 ,0 ,14 ,0 ,1 ,0 ,3 ,46 ,52 ,12 
A,47 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,5 ,1 ,2 ,2 ,3 ,0 ,0 ,1 ,1 ,2 ,14 ,3 ,46 ,2 ,0 
A,48 ,21 ,0 ,7 ,0 ,1 ,5 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,21 ,3 ,0 ,8 ,0 ,14 ,3 ,3 ,46 ,2 ,2 
A,49 ,21 ,3 ,0 ,1 ,1 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21 ,3 ,3 ,8 ,2 ,1 ,8 ,0 ,46 ,24 ,0 
A,50 ,0 ,3 ,0 ,0 ,1 ,5 ,0 ,0 ,0 ,0 ,1 ,7 ,0 ,21 ,3 ,3 ,8 ,0 ,0 ,8 ,0 ,46 ,24 ,3 
A,51 ,0 ,3 ,3 ,0 ,0 ,1 ,0 ,5 ,0 ,1 ,1 ,2 ,3 ,0 ,0 ,3 ,8 ,1 ,1 ,8 ,2 ,2 ,0 ,3 
A,52 ,0 ,3 ,3 ,3 ,1 ,1 ,0 ,5 ,0 ,1 ,1 ,7 ,3 ,0 ,0 ,3 ,1 ,0 ,2 ,8 ,2 ,2 ,0 ,3 
A,53 ,2 ,3 ,3 ,3 ,1 ,1 ,2 ,0 ,28 ,0 ,1 ,0 ,3 ,21 ,0 ,3 ,1 ,0 ,2 ,46 ,2 ,2 ,0 ,3 
A,54 ,0 ,3 ,3 ,3 ,1 ,1 ,2 ,0 ,28 ,0 ,1 ,2 ,0 ,21 ,0 ,3 ,24 ,0 ,2 ,46 ,0 ,2 ,2 ,3 
A,55 ,0 ,3 ,3 ,3 ,0 ,1 ,2 ,0 ,28 ,1 ,1 ,0 ,0 ,21 ,0 ,3 ,24 ,0 ,0 ,46 ,2 ,2 ,2 ,3 
A,56 ,24 ,3 ,3 ,3 ,0 ,0 ,2 ,1 ,28 ,1 ,1 ,19 ,2 ,21 ,0 ,3 ,1 ,10 ,10 ,46 ,2 ,0 ,2 ,3 
A,57 ,24 ,3 ,0 ,3 ,0 ,0 ,2 ,0 ,28 ,0 ,1 ,19 ,2 ,21 ,2 ,0 ,0 ,10 ,0 ,8 ,46 ,21 ,2 ,9 
A,58 ,0 ,3 ,0 ,3 ,1 ,0 ,2 ,0 ,3 ,0 ,0 ,0 ,2 ,21 ,0 ,0 ,0 ,0 ,2 ,8 ,46 ,2 ,2 ,9 
A,59 ,0 ,3 ,2 ,3 ,1 ,43 ,2 ,0 ,3 ,0 ,5 ,0 ,2 ,21 ,0 ,0 ,0 ,2 ,0 ,8 ,46 ,2 ,2 ,9 
A,60 ,3 ,3 ,3 ,3 ,1 ,43 ,0 ,7 ,3 ,0 ,5 ,2 ,2 ,21 ,0 ,0 ,14 ,0 ,0 ,8 ,46 ,2 ,2 ,9 
A,61 ,3 ,0 ,3 ,3 ,1 ,43 ,0 ,2 ,3 ,0 ,5 ,0 ,2 ,21 ,2 ,0 ,1 ,3 ,0 ,0 ,46 ,2 ,2 ,9 
A,62 ,0 ,0 ,3 ,3 ,1 ,43 ,0 ,0 ,3 ,0 ,1 ,2 ,2 ,21 ,2 ,0 ,0 ,3 ,0 ,0 ,46 ,0 ,52 ,9 
A,63 ,0 ,0 ,3 ,3 ,1 ,43 ,0 ,0 ,0 ,0 ,1 ,2 ,2 ,1 ,2 ,0 ,0 ,3 ,1 ,5 ,46 ,2 ,52 ,2 
A,64 ,0 ,0 ,3 ,3 ,1 ,43 ,0 ,3 ,0 ,3 ,1 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,1 ,0 ,46 ,2 ,52 ,2 
A,65 ,0 ,3 ,0 ,3 ,1 ,1 ,0 ,3 ,28 ,3 ,1 ,2 ,2 ,0 ,2 ,0 ,0 ,3 ,1 ,0 ,46 ,0 ,52 ,2 
A,66 ,27 ,3 ,0 ,3 ,1 ,1 ,0 ,3 ,28 ,3 ,1 ,2 ,0 ,0 ,26 ,0 ,3 ,3 ,1 ,2 ,46 ,0 ,52 ,29 
A,67 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,3 ,28 ,3 ,3 ,2 ,0 ,2 ,0 ,0 ,3 ,3 ,2 ,2 ,46 ,0 ,52 ,29 
A,68 ,0 ,0 ,3 ,0 ,19 ,0 ,0 ,2 ,0 ,1 ,3 ,2 ,0 ,0 ,3 ,0 ,3 ,0 ,1 ,2 ,9 ,3 ,52 ,29 
A,69 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,3 ,3 ,0 ,0 ,3 ,0 ,14 ,0 ,1 ,3 ,9 ,3 ,52 ,29 
A,70 ,0 ,3 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,46 ,9 ,0 ,2 ,29 
A,71 ,3 ,3 ,3 ,0 ,1 ,0 ,0 ,2 ,0 ,3 ,3 ,2 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,46 ,21 ,0 ,2 ,29 
A,72 ,0 ,3 ,3 ,0 ,1 ,0 ,0 ,0 ,2 ,3 ,1 ,3 ,9 ,46 ,0 ,0 ,0 ,1 ,0 ,46 ,21 ,2 ,2 ,29 
A,73 ,0 ,3 ,3 ,0 ,1 ,0 ,0 ,0 ,2 ,3 ,1 ,3 ,9 ,46 ,2 ,0 ,1 ,1 ,0 ,46 ,21 ,0 ,52 ,29 
A,74 ,0 ,0 ,3 ,0 ,1 ,0 ,2 ,0 ,2 ,3 ,7 ,3 ,9 ,46 ,0 ,0 ,0 ,0 ,1 ,46 ,21 ,0 ,52 ,29 
A,75 ,0 ,0 ,3 ,0 ,1 ,20 ,2 ,0 ,2 ,3 ,1 ,3 ,9 ,46 ,0 ,0 ,0 ,1 ,1 ,46 ,0 ,1 ,52 ,29 
A,76 ,0 ,3 ,3 ,0 ,1 ,0 ,2 ,0 ,0 ,3 ,1 ,3 ,9 ,46 ,3 ,0 ,0 ,1 ,1 ,46 ,0 ,0 ,48 ,0 
A,77 ,0 ,3 ,5 ,3 ,1 ,0 ,9 ,29 ,1 ,3 ,1 ,3 ,0 ,46 ,3 ,0 ,14 ,0 ,0 ,8 ,0 ,0 ,48 ,0 
A,78 ,0 ,3 ,5 ,3 ,1 ,0 ,9 ,0 ,0 ,3 ,1 ,2 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,8 ,50 ,5 ,48 ,0 
A,79 ,0 ,3 ,5 ,0 ,1 ,3 ,9 ,29 ,1 ,3 ,1 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,8 ,50 ,2 ,2 ,1 
A,80 ,0 ,3 ,5 ,0 ,1 ,0 ,9 ,0 ,2 ,0 ,1 ,1 ,0 ,21 ,3 ,0 ,0 ,0 ,3 ,46 ,3 ,2 ,2 ,1 
A,81 ,2 ,3 ,5 ,0 ,1 ,0 ,9 ,3 ,2 ,0 ,1 ,1 ,0 ,0 ,3 ,3 ,0 ,0 ,3 ,8 ,3 ,2 ,0 ,2 
A,82 ,0 ,0 ,5 ,0 ,21 ,0 ,9 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,3 ,8 ,3 ,2 ,0 ,2 
A,83 ,0 ,0 ,5 ,0 ,1 ,0 ,9 ,3 ,0 ,0 ,1 ,5 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,8 ,3 ,21 ,0 ,0 
A,84 ,0 ,0 ,5 ,0 ,21 ,1 ,9 ,2 ,28 ,3 ,1 ,5 ,2 ,21 ,0 ,3 ,0 ,2 ,0 ,0 ,3 ,21 ,0 ,0 
A,85 ,0 ,3 ,35 ,0 ,21 ,3 ,9 ,2 ,28 ,3 ,1 ,1 ,2 ,21 ,0 ,46 ,14 ,0 ,0 ,0 ,3 ,21 ,0 ,3 
A,86 ,0 ,3 ,5 ,14 ,21 ,0 ,9 ,0 ,28 ,3 ,1 ,1 ,2 ,21 ,0 ,46 ,0 ,0 ,0 ,0 ,3 ,21 ,2 ,3 
A,87 ,3 ,3 ,5 ,14 ,21 ,0 ,9 ,0 ,28 ,3 ,29 ,1 ,2 ,21 ,0 ,46 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,3 
A,88 ,3 ,3 ,5 ,0 ,0 ,0 ,0 ,0 ,28 ,3 ,29 ,1 ,0 ,21 ,0 ,46 ,0 ,0 ,1 ,0 ,3 ,2 ,0 ,0 
A,89 ,3 ,3 ,5 ,0 ,0 ,0 ,0 ,2 ,28 ,0 ,1 ,1 ,2 ,21 ,3 ,46 ,0 ,1 ,1 ,0 ,8 ,2 ,3 ,0 
A,90 ,3 ,3 ,5 ,0 ,1 ,0 ,2 ,2 ,3 ,0 ,29 ,0 ,2 ,0 ,3 ,46 ,14 ,1 ,1 ,50 ,8 ,2 ,3 ,1 
A,91 ,0 ,3 ,0 ,0 ,8 ,2 ,0 ,2 ,3 ,0 ,29 ,0 ,0 ,5 ,3 ,3 ,3 ,0 ,1 ,50 ,8 ,2 ,3 ,1 
A,92 ,0 ,3 ,0 ,3 ,1 ,8 ,0 ,2 ,2 ,3 ,29 ,0 ,0 ,21 ,3 ,3 ,3 ,0 ,0 ,50 ,8 ,0 ,3 ,1 
A,93 ,0 ,3 ,2 ,0 ,8 ,8 ,0 ,0 ,2 ,3 ,29 ,1 ,0 ,21 ,3 ,3 ,3 ,0 ,0 ,50 ,8 ,2 ,3 ,2 
A,94 ,0 ,3 ,2 ,0 ,1 ,8 ,32 ,0 ,2 ,3 ,29 ,1 ,0 ,21 ,0 ,3 ,3 ,46 ,0 ,0 ,8 ,2 ,24 ,2 
A,95 ,5 ,3 ,2 ,0 ,1 ,8 ,0 ,2 ,2 ,3 ,29 ,0 ,0 ,5 ,0 ,3 ,21 ,3 ,0 ,50 ,8 ,2 ,24 ,0 
A,96 ,5 ,3 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,3 ,29 ,0 ,0 ,5 ,0 ,3 ,21 ,3 ,18 ,50 ,3 ,2 ,24 ,0 
A,97 ,5 ,0 ,0 ,0 ,0 ,0 ,2 ,7 ,2 ,3 ,29 ,2 ,0 ,0 ,0 ,46 ,0 ,3 ,18 ,50 ,3 ,0 ,0 ,0 
A,98 ,0 ,0 ,0 ,2 ,1 ,5 ,0 ,3 ,2 ,3 ,29 ,2 ,2 ,0 ,0 ,46 ,0 ,3 ,18 ,50 ,8 ,2 ,8 ,0 
A,99 ,0 ,0 ,2 ,0 ,3 ,0 ,2 ,3 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,46 ,0 ,0 ,18 ,50 ,8 ,2 ,8 ,0 
A,100 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,3 ,2 ,0 ,2 ,3 ,0 ,0 ,0 ,46 ,0 ,0 ,18 ,14 ,46 ,1 ,8 ,0 
A,101 ,0 ,0 ,1 ,14 ,0 ,0 ,0 ,3 ,2 ,0 ,2 ,3 ,2 ,0 ,0 ,46 ,0 ,0 ,3 ,14 ,46 ,0 ,2 ,0 
A,102 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,2 ,3 ,2 ,2 ,0 ,46 ,0 ,0 ,3 ,26 ,46 ,2 ,0 ,0 
A,103 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,3 ,2 ,2 ,0 ,46 ,24 ,0 ,3 ,0 ,46 ,2 ,52 ,3 
A,104 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,2 ,0 ,46 ,24 ,0 ,3 ,26 ,46 ,2 ,52 ,3 
A,105 ,2 ,3 ,0 ,3 ,3 ,3 ,0 ,0 ,28 ,0 ,1 ,3 ,0 ,0 ,0 ,46 ,24 ,0 ,3 ,0 ,0 ,2 ,3 ,3 
A,106 ,0 ,3 ,2 ,3 ,3 ,2 ,0 ,2 ,28 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,24 ,0 ,3 ,0 ,0 ,0 ,24 ,3 
A,107 ,0 ,3 ,18 ,3 ,3 ,3 ,0 ,2 ,28 ,0 ,0 ,3 ,2 ,2 ,0 ,0 ,24 ,0 ,3 ,0 ,0 ,2 ,24 ,3 
A,108 ,0 ,3 ,1 ,3 ,3 ,9 ,3 ,2 ,28 ,3 ,0 ,3 ,2 ,2 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,24 ,3 
A,109 ,0 ,3 ,1 ,3 ,3 ,9 ,0 ,0 ,28 ,3 ,1 ,3 ,0 ,2 ,0 ,0 ,3 ,0 ,0 ,14 ,5 ,0 ,24 ,3 
A,110 ,0 ,3 ,1 ,0 ,3 ,9 ,0 ,3 ,28 ,3 ,1 ,0 ,2 ,2 ,0 ,0 ,3 ,0 ,0 ,0 ,3 ,3 ,0 ,3 
A,111 ,0 ,3 ,3 ,0 ,24 ,9 ,0 ,3 ,28 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,14 ,3 ,3 ,0 ,2 
A,112 ,2 ,5 ,3 ,0 ,24 ,9 ,0 ,0 ,8 ,3 ,1 ,3 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,2 ,0 ,0 
A,113 ,0 ,0 ,3 ,0 ,24 ,9 ,3 ,0 ,0 ,3 ,1 ,3 ,2 ,2 ,3 ,0 ,3 ,1 ,0 ,0 ,3 ,0 ,0 ,0 
A,114 ,0 ,0 ,0 ,3 ,24 ,1 ,3 ,15 ,1 ,3 ,1 ,2 ,2 ,2 ,3 ,0 ,3 ,1 ,0 ,0 ,3 ,2 ,0 ,0 
A,115 ,0 ,0 ,0 ,3 ,40 ,3 ,3 ,2 ,1 ,3 ,0 ,2 ,0 ,0 ,3 ,0 ,3 ,0 ,2 ,0 ,3 ,2 ,0 ,2 
A,116 ,0 ,0 ,0 ,3 ,41 ,2 ,7 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,3 ,0 ,24 ,0 ,2 ,14 ,3 ,2 ,24 ,2 
A,117 ,0 ,0 ,0 ,3 ,24 ,5 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,46 ,2 ,0 ,5 ,2 ,24 ,2 
A,118 ,0 ,0 ,0 ,0 ,24 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,46 ,2 ,0 ,5 ,2 ,24 ,2 
A,119 ,0 ,0 ,0 ,3 ,1 ,0 ,7 ,3 ,1 ,0 ,1 ,2 ,0 ,0 ,0 ,3 ,0 ,46 ,2 ,14 ,5 ,0 ,24 ,2 
A,120 ,0 ,3 ,0 ,3 ,1 ,0 ,2 ,3 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,46 ,0 ,1 ,5 ,0 ,2 ,2 
A,121 ,0 ,3 ,0 ,3 ,1 ,0 ,0 ,5 ,2 ,2 ,1 ,0 ,2 ,2 ,3 ,3 ,14 ,46 ,0 ,1 ,3 ,0 ,2 ,0 
A,122 ,14 ,3 ,0 ,3 ,0 ,0 ,7 ,7 ,2 ,2 ,0 ,0 ,2 ,2 ,3 ,3 ,1 ,46 ,0 ,1 ,0 ,2 ,0 ,0 
A,123 ,0 ,3 ,2 ,3 ,0 ,3 ,0 ,0 ,2 ,2 ,2 ,0 ,2 ,0 ,3 ,3 ,1 ,1 ,0 ,0 ,0 ,2 ,2 ,0 
A,124 ,0 ,3 ,0 ,3 ,3 ,3 ,0 ,0 ,2 ,1 ,2 ,0 ,2 ,0 ,3 ,3 ,0 ,1 ,0 ,0 ,2 ,2 ,2 ,0 
A,125 ,0 ,0 ,21 ,3 ,3 ,3 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,1 ,14 ,0 ,2 ,0 ,2 ,2 
A,126 ,0 ,0 ,27 ,3 ,3 ,3 ,3 ,0 ,1 ,2 ,0 ,9 ,1 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,2 ,0 ,0 ,2 
A,127 ,3 ,0 ,2 ,3 ,3 ,3 ,3 ,0 ,0 ,0 ,0 ,9 ,2 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,2 ,0 ,0 ,2 
A,128 ,0 ,0 ,1 ,3 ,0 ,3 ,0 ,7 ,0 ,3 ,0 ,9 ,0 ,3 ,0 ,0 ,0 ,1 ,3 ,2 ,2 ,0 ,2 ,2 
A,129 ,3 ,2 ,1 ,3 ,14 ,3 ,0 ,7 ,0 ,3 ,1 ,9 ,0 ,3 ,0 ,0 ,14 ,1 ,0 ,2 ,2 ,0 ,0 ,2 
A,130 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,2 ,3 ,0 ,9 ,2 ,3 ,0 ,0 ,3 ,1 ,0 ,0 ,2 ,0 ,0 ,2 
A,131 ,0 ,2 ,2 ,3 ,0 ,3 ,0 ,0 ,1 ,3 ,0 ,9 ,0 ,0 ,0 ,0 ,3 ,1 ,1 ,0 ,2 ,0 ,2 ,2 
A,132 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,1 ,3 ,0 ,9 ,2 ,3 ,0 ,0 ,3 ,1 ,1 ,46 ,2 ,5 ,41 ,5 
A,133 ,0 ,3 ,0 ,0 ,1 ,3 ,0 ,0 ,1 ,3 ,0 ,9 ,2 ,3 ,0 ,3 ,14 ,0 ,1 ,28 ,1 ,0 ,41 ,2 
A,134 ,0 ,0 ,14 ,0 ,1 ,3 ,0 ,0 ,1 ,1 ,0 ,9 ,2 ,0 ,0 ,3 ,0 ,0 ,0 ,28 ,2 ,2 ,41 ,2 
A,135 ,0 ,0 ,0 ,27 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,2 ,0 ,0 ,3 ,0 ,3 ,0 ,28 ,2 ,2 ,41 ,2 
A,136 ,0 ,0 ,4 ,0 ,1 ,0 ,3 ,0 ,2 ,0 ,0 ,9 ,2 ,0 ,0 ,3 ,0 ,3 ,46 ,28 ,2 ,2 ,41 ,2 
